"DZ_CODE","UR2FOLD","UR6FOLD","UR8FOLD"
"S01001496",1,1,1
"S01001498",1,1,1
"S01001501",1,1,1
"S01001507",1,1,1
"S01001508",1,1,1
"S01001511",1,1,1
"S01001515",1,1,1
"S01001517",1,1,1
"S01001518",1,1,1
"S01001519",1,1,1
"S01001521",1,1,1
"S01001523",1,1,1
"S01001526",1,1,1
"S01001527",1,1,1
"S01001529",1,1,1
"S01001530",1,1,1
"S01001532",1,1,1
"S01001533",1,1,1
"S01001534",1,1,1
"S01001538",1,1,1
"S01001540",1,1,1
"S01001561",1,1,1
"S01001563",1,1,1
"S01001564",1,1,1
"S01001565",1,1,1
"S01001566",1,1,1
"S01001568",1,1,1
"S01001570",1,1,1
"S01001571",1,1,1
"S01001572",1,1,1
"S01001574",1,1,1
"S01001575",1,1,1
"S01001579",1,1,1
"S01001580",1,1,1
"S01001581",1,1,1
"S01001582",1,1,1
"S01001583",1,1,1
"S01001584",1,1,1
"S01001585",1,1,1
"S01001586",1,1,1
"S01001588",1,1,1
"S01001590",1,1,1
"S01001592",1,1,1
"S01001593",1,1,1
"S01001594",1,1,1
"S01001596",1,1,1
"S01001597",1,1,1
"S01001598",1,1,1
"S01001599",1,1,1
"S01001600",1,1,1
"S01001606",1,1,1
"S01001679",1,1,1
"S01001680",1,1,1
"S01001681",1,1,1
"S01001683",1,1,1
"S01001685",1,1,1
"S01001686",1,1,1
"S01001687",1,1,1
"S01001688",1,1,1
"S01001689",1,1,1
"S01001690",1,1,1
"S01001691",1,1,1
"S01001692",1,1,1
"S01001693",1,1,1
"S01001694",1,1,1
"S01001695",1,1,1
"S01001696",1,1,1
"S01001697",1,1,1
"S01001698",1,1,1
"S01001699",1,1,1
"S01001700",1,1,1
"S01001701",1,1,1
"S01001702",1,1,1
"S01001703",1,1,1
"S01001704",1,1,1
"S01001705",1,1,1
"S01001706",1,1,1
"S01001707",1,1,1
"S01001708",1,1,1
"S01001709",1,1,1
"S01001710",1,1,1
"S01001711",1,1,1
"S01001713",1,1,1
"S01001714",1,1,1
"S01001715",1,1,1
"S01001717",1,1,1
"S01001718",1,1,1
"S01001719",1,1,1
"S01001720",1,1,1
"S01001721",1,1,1
"S01001722",1,1,1
"S01001723",1,1,1
"S01001726",1,1,1
"S01001727",1,1,1
"S01001728",1,1,1
"S01001729",1,1,1
"S01001730",1,1,1
"S01001731",1,1,1
"S01001732",1,1,1
"S01001734",1,1,1
"S01001735",1,1,1
"S01001736",1,1,1
"S01001737",1,1,1
"S01001738",1,1,1
"S01001739",1,1,1
"S01001741",1,1,1
"S01001742",1,1,1
"S01001743",1,1,1
"S01001744",1,1,1
"S01001745",1,1,1
"S01001746",1,1,1
"S01001747",1,1,1
"S01001748",1,1,1
"S01001749",1,1,1
"S01001750",1,1,1
"S01001751",1,1,1
"S01001752",1,1,1
"S01001753",1,1,1
"S01001754",1,1,1
"S01001755",1,1,1
"S01001756",1,1,1
"S01001757",1,1,1
"S01001758",1,1,1
"S01001759",1,1,1
"S01001760",1,1,1
"S01001761",1,1,1
"S01001762",1,1,1
"S01001763",1,1,1
"S01001764",1,1,1
"S01001765",1,1,1
"S01001766",1,1,1
"S01001767",1,1,1
"S01001768",1,1,1
"S01001769",1,1,1
"S01001770",1,1,1
"S01001771",1,1,1
"S01001772",1,1,1
"S01001773",1,1,1
"S01001774",1,1,1
"S01001775",1,1,1
"S01001776",1,1,1
"S01001777",1,1,1
"S01001778",1,1,1
"S01001779",1,1,1
"S01001780",1,1,1
"S01001781",1,1,1
"S01001782",1,1,1
"S01001783",1,1,1
"S01001784",1,1,1
"S01001785",1,1,1
"S01001786",1,1,1
"S01001787",1,1,1
"S01001788",1,1,1
"S01001789",1,1,1
"S01001790",1,1,1
"S01001791",1,1,1
"S01001792",1,1,1
"S01001793",1,1,1
"S01001794",1,1,1
"S01001795",1,1,1
"S01001796",1,1,1
"S01001797",1,1,1
"S01001798",1,1,1
"S01001799",1,1,1
"S01001800",1,1,1
"S01001802",1,1,1
"S01001803",1,1,1
"S01001804",1,1,1
"S01001805",1,1,1
"S01001806",1,1,1
"S01001807",1,1,1
"S01001808",1,1,1
"S01001809",1,1,1
"S01001810",1,1,1
"S01001811",1,1,1
"S01001812",1,1,1
"S01001813",1,1,1
"S01001814",1,1,1
"S01001815",1,1,1
"S01001816",1,1,1
"S01001817",1,1,1
"S01001818",1,1,1
"S01001819",1,1,1
"S01001820",1,1,1
"S01001821",1,1,1
"S01001822",1,1,1
"S01001823",1,1,1
"S01001824",1,1,1
"S01001825",1,1,1
"S01001826",1,1,1
"S01001827",1,1,1
"S01001828",1,1,1
"S01001829",1,1,1
"S01001830",1,1,1
"S01001831",1,1,1
"S01001832",1,1,1
"S01001833",1,1,1
"S01001834",1,1,1
"S01001835",1,1,1
"S01001836",1,1,1
"S01001837",1,1,1
"S01001838",1,1,1
"S01001839",1,1,1
"S01001840",1,1,1
"S01001841",1,1,1
"S01001842",1,1,1
"S01001843",1,1,1
"S01001844",1,1,1
"S01001845",1,1,1
"S01001846",1,1,1
"S01001847",1,1,1
"S01001848",1,1,1
"S01001849",1,1,1
"S01001850",1,1,1
"S01001851",1,1,1
"S01001852",1,1,1
"S01001853",1,1,1
"S01001854",1,1,1
"S01001855",1,1,1
"S01001856",1,1,1
"S01001857",1,1,1
"S01001858",1,1,1
"S01001859",1,1,1
"S01001860",1,1,1
"S01001861",1,1,1
"S01001862",1,1,1
"S01001863",1,1,1
"S01001864",1,1,1
"S01001865",1,1,1
"S01001866",1,1,1
"S01001867",1,1,1
"S01001868",1,1,1
"S01001869",1,1,1
"S01001870",1,1,1
"S01001871",1,1,1
"S01001872",1,1,1
"S01001873",1,1,1
"S01001874",1,1,1
"S01001875",1,1,1
"S01001876",1,1,1
"S01001877",1,1,1
"S01001878",1,1,1
"S01001879",1,1,1
"S01001880",1,1,1
"S01001881",1,1,1
"S01001882",1,1,1
"S01001883",1,1,1
"S01001884",1,1,1
"S01001885",1,1,1
"S01001886",1,1,1
"S01001888",1,1,1
"S01001889",1,1,1
"S01001890",1,1,1
"S01001891",1,1,1
"S01001892",1,1,1
"S01001893",1,1,1
"S01001894",1,1,1
"S01001895",1,1,1
"S01001896",1,1,1
"S01001897",1,1,1
"S01001898",1,1,1
"S01001899",1,1,1
"S01001900",1,1,1
"S01001901",1,1,1
"S01001902",1,1,1
"S01001903",1,1,1
"S01001904",1,1,1
"S01001905",1,1,1
"S01001906",1,1,1
"S01001907",1,1,1
"S01001908",1,1,1
"S01001909",1,1,1
"S01001910",1,1,1
"S01001911",1,1,1
"S01001912",1,1,1
"S01001913",1,1,1
"S01001914",1,1,1
"S01001915",1,1,1
"S01001916",1,1,1
"S01001917",1,1,1
"S01001918",1,1,1
"S01001919",1,1,1
"S01001920",1,1,1
"S01001921",1,1,1
"S01001923",1,1,1
"S01001924",1,1,1
"S01001925",1,1,1
"S01001926",1,1,1
"S01001927",1,1,1
"S01001928",1,1,1
"S01001929",1,1,1
"S01001930",1,1,1
"S01001931",1,1,1
"S01001932",1,1,1
"S01001933",1,1,1
"S01001934",1,1,1
"S01001935",1,1,1
"S01001936",1,1,1
"S01001937",1,1,1
"S01001938",1,1,1
"S01001939",1,1,1
"S01001940",1,1,1
"S01001941",1,1,1
"S01001942",1,1,1
"S01001943",1,1,1
"S01001944",1,1,1
"S01001945",1,1,1
"S01001946",1,1,1
"S01001947",1,1,1
"S01001948",1,1,1
"S01001949",1,1,1
"S01001950",1,1,1
"S01001951",1,1,1
"S01001952",1,1,1
"S01001953",1,1,1
"S01001954",1,1,1
"S01001955",1,1,1
"S01001956",1,1,1
"S01001957",1,1,1
"S01001958",1,1,1
"S01001960",1,1,1
"S01001961",1,1,1
"S01001962",1,1,1
"S01001963",1,1,1
"S01001964",1,1,1
"S01001965",1,1,1
"S01001966",1,1,1
"S01001967",1,1,1
"S01001968",1,1,1
"S01001969",1,1,1
"S01001970",1,1,1
"S01001971",1,1,1
"S01001972",1,1,1
"S01001973",1,1,1
"S01001974",1,1,1
"S01001975",1,1,1
"S01001976",1,1,1
"S01001977",1,1,1
"S01001978",1,1,1
"S01001979",1,1,1
"S01001980",1,1,1
"S01001981",1,1,1
"S01001982",1,1,1
"S01001983",1,1,1
"S01001984",1,1,1
"S01001985",1,1,1
"S01001986",1,1,1
"S01001987",1,1,1
"S01001988",1,1,1
"S01001989",1,1,1
"S01001990",1,1,1
"S01001991",1,1,1
"S01001992",1,1,1
"S01001993",1,1,1
"S01001994",1,1,1
"S01001995",1,1,1
"S01001996",1,1,1
"S01001997",1,1,1
"S01001998",1,1,1
"S01001999",1,1,1
"S01002000",1,1,1
"S01002001",1,1,1
"S01002002",1,1,1
"S01002003",1,1,1
"S01002004",1,1,1
"S01002005",1,1,1
"S01002006",1,1,1
"S01002007",1,1,1
"S01002008",1,1,1
"S01002009",1,1,1
"S01002010",1,1,1
"S01002011",1,1,1
"S01002012",1,1,1
"S01002013",1,1,1
"S01002014",1,1,1
"S01002015",1,1,1
"S01002016",1,1,1
"S01002017",1,1,1
"S01002018",1,1,1
"S01002019",1,1,1
"S01002020",1,1,1
"S01002021",1,1,1
"S01002023",1,1,1
"S01002024",1,1,1
"S01002025",1,1,1
"S01002026",1,1,1
"S01002027",1,1,1
"S01002028",1,1,1
"S01002029",1,1,1
"S01002030",1,1,1
"S01002031",1,1,1
"S01002032",1,1,1
"S01002033",1,1,1
"S01002034",1,1,1
"S01002035",1,1,1
"S01002036",1,1,1
"S01002037",1,1,1
"S01002038",1,1,1
"S01002039",1,1,1
"S01002040",1,1,1
"S01002041",1,1,1
"S01002042",1,1,1
"S01002043",1,1,1
"S01002044",1,1,1
"S01002045",1,1,1
"S01002046",1,1,1
"S01002047",1,1,1
"S01002048",1,1,1
"S01002049",1,1,1
"S01002050",1,1,1
"S01002051",1,1,1
