Datazone,Health Board,Council Area,Total population,People in households,People in communal establishments,Quintile,Decile,DEPCAT,Most deprived 15%,Least deprived 15%,Total population weight,% Overcrowding,% Male Unemployment,% No Car,% Low Social Class,Z-score overcrowding,Z-score male unemployment,Z-score no car,Z-score low social class,Carstairs score,Lower 95% uncertainty bound (random weights),Upper 95% uncertainty bound (random weights),Lower 95% confidence interval,Upper 95% confidence interval 
S01000187,Grampian,Aberdeen City,627,627,0,2,3,5,0,0,0.000118405,7.177033493,9.89010989,29.98405104,23.80952381,1.440858581,0.207170815,0.43061836,0.484529859,2.563177614,1.53604685,3.855539714,1.339542707,3.628263886
S01000188,Grampian,Aberdeen City,1219,730,489,2,3,5,0,0,0.0002302,3.698630137,6.137184116,45.47945205,29.08496732,0.162651965,-0.420033656,1.346609053,1.001560516,2.090787879,0.138191459,3.926385565,1.274143285,2.889409077
S01000189,Grampian,Aberdeen City,623,623,0,1,2,6,1,0,0.000117649,8.988764045,7.643312102,38.20224719,33.27338129,2.106614027,-0.16832332,0.916426451,1.412054615,4.266771772,2.035359111,6.351522474,3.17422686,5.316733715
S01000190,Grampian,Aberdeen City,835,835,0,2,4,4,0,0,0.000157684,3.473053892,4.098360656,25.74850299,29.69543147,0.079759609,-0.760770261,0.180239386,1.061390307,0.560619041,-1.187156493,2.241491721,-0.094546405,1.228282754
S01000191,Grampian,Aberdeen City,1223,1223,0,4,8,3,0,0,0.000230955,1.144726083,2.977667494,18.56091578,9.483568075,-0.775829494,-0.948065136,-0.244645584,-0.919514805,-2.888055019,-3.508378298,-2.160717393,-3.208617775,-2.436984207
S01000192,Grampian,Aberdeen City,810,752,58,1,2,6,1,0,0.000152963,7.579787234,5.392156863,46.94148936,35.1910828,1.588858236,-0.54454569,1.433035507,1.600002883,4.077350936,1.472178877,6.048916754,3.179948832,5.020079565
S01000193,Grampian,Aberdeen City,727,717,10,1,2,6,1,0,0.000137289,9.344490934,7.653061224,27.33612273,33.28380386,2.237332755,-0.166694007,0.274089484,1.4130761,3.757804333,1.254886562,6.270429525,2.715203171,4.678738534
S01000194,Grampian,Aberdeen City,872,872,0,1,2,6,1,0,0.000164671,6.995412844,8.955223881,40.25229358,32.72010512,1.374118559,0.0509288,1.037612306,1.357829649,3.820489314,2.328325896,5.030046645,2.83111384,4.662347617
S01000195,Grampian,Aberdeen City,723,723,0,1,2,6,1,0,0.000136534,5.809128631,10.76233184,50.76071923,31.68316832,0.938195472,0.352940153,1.658804367,1.256202532,4.206142525,2.955848802,5.383738626,3.173263759,5.155088632
S01000196,Grampian,Aberdeen City,1005,1005,0,1,1,7,1,0,0.000189787,16.31840796,10.54852321,39.90049751,36.65207877,4.800033503,0.317207571,1.016816334,1.743190789,7.877248196,4.01428318,12.57157695,6.732735927,8.857680092
S01000197,Grampian,Aberdeen City,587,587,0,1,2,6,0,0,0.000110851,9.710391823,6.417112299,23.33901193,32.74956217,2.371790117,-0.373250901,0.037805422,1.360716648,3.397061286,0.542619978,6.293544178,2.188565155,4.412968513
